#{"t_start": 1783316199.098217, "env_id": "None"}
r,l,t
-501.351757,1,3366.382484
-497.799052,4,3366.523813
-520.796953,5,3366.691942
-498.757107,4,3366.832533
-502.745362,1,3366.908793
-517.428953,3,3367.044276
-477.434763,3,3367.18296
-501.57347,1,3367.266186
-516.972336,1,3367.349231
-505.579196,1,3367.435872
-492.558486,1,3367.522919
-504.348742,1,3367.609576
-510.695602,2,3367.701471
-502.395242,3,3367.833199
-553.441146,7,3368.047145
-504.124793,3,3368.175886
-500.273417,1,3368.260584
-481.195983,5,3368.419822
-515.379469,1,3368.519513
-502.6957,1,3368.597513
-500.979844,3,3368.725014
-530.159823,5,3368.888248
-527.562023,2,3368.984835
-501.300946,1,3369.065769
-500.320876,3,3369.185641
-500.336702,1,3369.260862
-488.959423,3,3369.395225
-505.5233,2,3369.499634
2573.12281,226,3374.461212
3187.197968,235,3379.53732
2763.043572,265,3388.785649
2690.300208,177,3392.782978
3118.20716,280,3398.986497
2161.407445,208,3403.675481
235.645438,213,3408.504201
2544.245673,90,3410.521357
2232.142058,168,3414.247544
1972.669448,99,3416.505485
-463.913352,9,3416.761919
1180.413138,300,3423.462399
-488.506952,83,3425.325909
-498.503673,4,3425.48123
-503.14108,1,3425.557854
-522.448339,3,3425.67964
-501.824419,3,3425.802584
-502.380104,2,3425.909699
-495.237908,3,3426.023054
-484.283593,4,3426.178643
-503.438638,1,3426.261652
-509.786044,3,3426.394974
-521.433658,3,3426.520848
-510.287754,1,3426.591365
-500.890125,1,3426.671736
-503.007625,3,3426.80065
-498.460688,4,3426.953828
-502.105539,1,3427.040752
-500.687806,4,3427.198028
-492.590397,2,3427.314692
-501.782025,1,3427.395718
-503.449352,3,3427.527459
-484.517391,3,3427.675013
-503.96848,1,3427.758547
-502.459254,4,3427.910433
-541.524586,4,3428.045176
-505.104859,1,3428.119776
-490.964959,4,3428.279082
-509.722714,3,3428.409235
-534.691632,8,3428.636185
-523.783057,2,3428.739811
-502.446444,1,3428.824648
-493.524788,1,3428.91499
-504.796529,2,3429.022703
-494.834189,1,3429.109608
-539.83127,7,3429.324917
-489.67065,2,3429.421907
-506.07567,1,3429.496195
-492.070886,3,3429.625439
-494.616715,3,3429.755689
-504.785251,3,3429.890637
2029.332163,169,3433.653585
2274.667085,48,3434.793005
605.090792,293,3441.263431
-322.825454,91,3443.321382
-228.583943,62,3444.732779
2184.219619,115,3447.283451
2248.190543,61,3448.676654
2283.393542,111,3451.220831
-198.61883,209,3455.766353
315.827414,153,3459.149335
2471.288895,106,3461.53127
2135.44045,173,3465.366972
2557.709487,160,3468.939094
3058.494044,226,3473.992182
-357.207655,136,3477.052721
-350.360425,191,3481.254681
3133.260146,297,3487.903608
491.568217,300,3494.55367
3101.979481,236,3499.784297
1896.103598,75,3501.507505
-350.415888,37,3502.354085
3304.174387,280,3508.382624
-282.516932,144,3511.67909
-468.349154,51,3512.830088
-494.762195,4,3512.983762
-513.411171,3,3513.112571
-498.248706,2,3513.213354
-504.589537,3,3513.332108
-487.459989,3,3513.461416
