#{"t_start": 1783378746.528352, "env_id": "None"}
r,l,t
2105.760376,81,3814.755717
2389.743338,69,3817.221962
2719.950884,147,3823.466462
2639.789461,160,3828.70703
2538.762252,122,3833.457565
2544.107584,122,3838.089078
2157.548157,46,3840.107587
2705.849643,123,3844.968469
2152.0549,100,3847.938242
2790.395152,168,3854.653166
2805.982986,148,3859.725827
-362.48821,300,3870.860421
-1665.807625,247,3880.026581
2319.347405,249,3889.276038
2121.774355,112,3892.40707
2637.973499,204,3900.922727
1836.465228,222,3908.659798
2690.56136,167,3915.468859
2046.124673,95,3918.382927
174.194337,300,3929.801841
-199.455069,300,3941.082082
2191.699389,148,3946.153786
-291.526728,300,3957.489278
-90.389851,300,3967.691578
2242.250747,91,3971.728398
2521.709808,93,3974.64441
2105.748304,106,3978.993383
2210.006947,113,3983.39423
1806.387419,291,3993.229946
2301.947501,201,4000.455891
2135.487083,79,4003.058109
-318.247044,300,4014.171584
2293.68417,51,4016.358558
2375.360821,102,4020.570091
-117.212056,300,4030.771065
2973.73012,163,4037.327291
2439.662285,126,4041.89514
3155.75307,200,4049.063379
2706.281828,135,4054.041403
2609.665776,126,4058.711627
2165.398841,198,4065.825056
2408.856885,134,4070.61521
2363.547188,77,4073.163536
2255.987738,77,4077.036306
46.175417,300,4087.238627
2504.074538,147,4092.252525
2139.265893,86,4096.323419
260.592497,300,4107.478075
2439.781107,126,4110.899747
2109.372314,55,4113.127758
2280.30867,178,4119.922514
2495.636391,149,4124.951396
2235.123074,114,4129.429848
2330.227693,163,4135.943878
2750.089708,221,4143.515138
2171.96459,119,4148.140304
2064.918344,171,4155.025036
2622.527336,170,4160.45704
2134.731058,126,4165.132973
-275.676462,300,4176.48378
2304.539805,242,4185.531392
2371.214746,127,4190.187541
2065.184049,230,4197.848399
2487.914499,255,4207.290377
-506.404112,300,4218.69179
2488.276749,140,4223.509154
2256.715117,64,4225.911416
1950.153293,270,4236.73998
2200.018223,117,4240.005427
2394.209915,172,4248.054421
2182.240142,46,4250.375867
2442.167926,163,4255.816977
2235.086707,104,4260.126611
1839.730416,121,4264.832733
3008.697818,171,4270.23517
-1389.982865,300,4281.689414
2267.61029,89,4285.707099
2500.611144,178,4291.262667
2427.705724,109,4295.658013
2424.828996,104,4299.939444
2680.890187,116,4303.212211
255.010354,300,4314.451965
2378.423891,67,4316.854897
2381.597473,92,4320.969695
2381.591732,254,4330.396995
2342.384053,197,4337.407954
-805.932547,300,4347.643734
2037.832596,234,4356.590089
2178.105484,98,4360.759444
2343.117038,126,4365.406842
2297.029955,179,4371.971385
2660.368335,201,4379.486325
2448.705938,130,4385.527259
2613.522406,197,4392.718198
2184.488907,190,4399.885097
2192.343946,89,4402.74736
-1013.239929,300,4413.841318
2446.642594,73,4416.500044
2649.194654,214,4423.911506
2249.850814,59,4426.216704
-289.253883,300,4437.565791
263.177431,300,4447.800085
-310.215659,300,4459.197675
-1023.232513,194,4466.206519
-609.330201,300,4477.572548
1884.389393,86,4480.369466
1239.421723,266,4489.825319
2298.257763,287,4501.034581
2007.367486,99,4504.058685
-40.685975,300,4515.409306
2833.16413,145,4520.37218
2160.617891,91,4524.468909
2280.496122,85,4527.342915
-969.936224,300,4538.871869
2529.577051,267,4548.383891
491.767794,300,4560.086411
-790.692407,300,4570.383526
1961.483547,148,4576.921077
271.715199,300,4586.91688
2304.409353,179,4593.749081
2762.191475,159,4600.128925
2010.361341,70,4602.664325
2684.541836,144,4607.630793
2398.945306,296,4618.938241
2889.111444,145,4624.121237
2423.220555,80,4626.882602
2447.565056,177,4633.711145
2304.058965,56,4635.937593
-110.690264,300,4646.286785
2078.666771,187,4653.266697
1951.469356,109,4657.751388
2336.09935,88,4660.520579
2253.080606,141,4666.697664
-167.002524,300,4677.151638
2733.400904,166,4683.817998
1765.14149,117,4688.318085
-263.919374,300,4698.512477
2753.385053,168,4705.3292
2131.850085,108,4709.68293
49.093398,300,4719.857885
596.90378,300,4730.981017
